test_num,ts_history_size,ts_distances_increase,ts_price_point_percentage,net_benefits,final_balance,initial_deposit,test_years,total_transactions,benefit_factor,expected_benefit,dd_amount,dd_percent,total_profit_percent,avg_year_profit_percent,avg_year_profit_vs_dd_ratio
9001,28,0.13,0.21,-785.8,14214.2,15000,3,492,0.97,-1.6,3202.96,19.15,-5.24,-1.78,-0.09
9002,33,0.16,0.23,25650.02,40650.02,15000,3,2957,1.1,8.67,9567.09,22.87,171,39.42,1.72
9003,75,0.16,0.27,39404.84,54404.84,15000,3,2571,1.17,15.33,5813.28,14.51,262.7,53.64,3.7
9004,73,0.17,0.26,39134.45,54134.45,15000,3,2645,1.18,14.8,5614,15.28,260.9,53.39,3.49
9005,76,0.18,0.24,20803.38,35803.38,15000,3,2837,1.09,7.33,10670.8,28.58,138.69,33.64,1.18
9006,78,0.14,0.27,38967.49,53967.49,15000,3,2571,1.17,15.16,6051.56,15.05,259.78,53.23,3.54
9007,75,0.21,0.26,32668.89,47668.89,15000,3,2641,1.16,12.37,3679.21,24.23,217.79,47.02,1.94
9008,72,0.23,0.23,36651.09,51651.09,15000,3,2960,1.13,12.38,11717.3,22.42,244.34,51.01,2.28
9009,77,0.22,0.25,36624.72,51624.72,15000,3,2721,1.17,13.46,6399.82,16.73,244.16,50.98,3.05
9010,74,0.2,0.29,25429.31,40429.31,15000,3,2390,1.15,10.64,6225.16,20.67,169.53,39.17,1.9
9011,73,0.15,0.22,2485.72,17485.72,15000,3,475,1.1,5.23,3671.27,18.05,16.57,5.24,0.29
9012,71,0.13,0.28,35016.68,50016.68,15000,3,2492,1.17,14.05,4359.94,16.6,233.44,49.4,2.98
9013,24,0.13,0.28,34464.34,49464.34,15000,3,2496,1.18,13.81,4492.3,18.88,229.76,48.84,2.59
9014,26,0.17,0.26,29265.57,44265.57,15000,3,2649,1.16,11.05,3269.5,21.43,195.1,43.44,2.03
9015,55,0.16,0.24,21352.81,36352.81,15000,3,2837,1.09,7.53,10611.66,28.22,142.35,34.32,1.22
9016,42,0.12,0.31,9235.57,24235.57,15000,3,2217,1.08,4.17,6953.71,34.35,61.57,17.34,0.5
9017,66,0.23,0.27,21183.12,36183.12,15000,3,2571,1.11,8.24,5612.39,23.75,141.22,34.11,1.44
9018,64,0.14,0.3,16247.38,31247.38,15000,3,2304,1.12,7.05,5627.38,19.17,108.32,27.71,1.45
9019,96,0.16,0.27,44255.46,59255.46,15000,3,2572,1.19,17.17,6170.75,15.4,295.04,58.08,3.77
9020,39,0.21,0.3,17988.12,32988.12,15000,3,2305,1.13,7.8,5652.25,18.51,119.92,30.04,1.62
9021,95,0.18,0.31,11595.35,26595.35,15000,3,2205,1.09,5.26,7704.86,28.22,77.3,21.03,0.75
9022,47,0.25,0.29,31987.91,46987.91,15000,3,2385,1.17,13.41,7288.06,20.43,213.25,46.32,2.27
9023,31,0.12,0.3,16774.78,31774.78,15000,3,2307,1.12,7.27,5723.75,19.3,111.83,28.43,1.47
9024,36,0.21,0.29,23490.9,38490.9,15000,3,2394,1.15,9.81,6275.16,21.45,156.61,36.91,1.72
9025,90,0.26,0.22,2696.39,17696.39,15000,3,475,1.1,5.68,3681.07,17.91,17.98,5.66,0.32
9026,46,0.14,0.33,20225.49,35225.49,15000,3,2072,1.16,9.76,7534.13,23.42,134.84,32.92,1.41
9027,22,0.13,0.3,17551.38,32551.38,15000,3,2317,1.13,7.58,5799.52,19.14,117.01,29.47,1.54
9028,69,0.11,0.28,34442.79,49442.79,15000,3,2492,1.17,13.82,4357.23,16.53,229.62,48.82,2.95
9029,33,0.27,0.28,23719.83,38719.83,15000,3,2476,1.14,9.58,6614.42,27.1,158.13,37.18,1.37
9030,46,0.21,0.33,13145.46,28145.46,15000,3,2052,1.11,6.41,6668.64,31.96,87.64,23.34,0.73
9031,37,0.2,0.28,17009.71,32009.71,15000,3,2487,1.11,6.84,7231.63,33.97,113.4,28.74,0.85
9032,62,0.21,0.31,12214.1,27214.1,15000,3,2214,1.1,5.52,5843.88,23.8,81.43,21.96,0.92
9033,54,0.14,0.21,-869.2,14130.8,15000,3,488,0.96,-1.78,3204.22,19.25,-5.79,-1.97,-0.1
9034,77,0.14,0.23,31763.48,46763.48,15000,3,2959,1.11,10.73,10582.61,22.47,211.76,46.08,2.05
9035,53,0.27,0.31,12307.85,27307.85,15000,3,2211,1.1,5.57,5861.63,23.69,82.05,22.1,0.93
9036,27,0.15,0.32,21208.43,36208.43,15000,3,2161,1.16,9.81,8826.72,26.63,141.39,34.14,1.28
9037,82,0.27,0.32,13919.14,28919.14,15000,3,2143,1.1,6.5,9759.94,34.05,92.79,24.46,0.72
9038,69,0.13,0.21,-777.53,14222.47,15000,3,492,0.97,-1.58,3204.22,19.15,-5.18,-1.76,-0.09
9039,76,0.24,0.21,-1216.51,13783.49,15000,3,430,0.94,-2.83,3174.21,19.13,-8.11,-2.78,-0.15
9040,81,0.26,0.28,19763.62,34763.62,15000,3,2483,1.12,7.96,7613.22,35.81,131.76,32.34,0.9
9041,39,0.16,0.26,41682.49,56682.49,15000,3,2655,1.2,15.7,4832.02,12.91,277.88,55.76,4.32
